Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name
G. Peralta,Gustavo Peralta,57,66,375000,ST,ST,Paraguay,21,179,74,1322,288,Club Olimpia
B. House,Ben House,57,63,275000,ST,ST,Scotland,22,183,74,1454,308,Lincoln City
Zhang Huachen,Huachen Zhang,57,63,240000,"CDM,CM",CDM,China PR,24,176,68,1573,336,Shanghai Port FC
R. Cielemęcki,Radosław Cielemęcki,57,71,400000,"CAM,CF",RM,Poland,19,173,70,1575,333,Wisła Płock
D. Tharme,Douglas Tharme,57,66,350000,"CB,RB",CB,England,22,190,78,1272,284,Accrington Stanley
N. De Mol,Nils De Mol,57,66,325000,GK,GK,Switzerland,21,183,84,927,315,FC Basel 1893
G. Acosta,George Acosta,57,66,375000,CAM,CAM,United States,22,170,66,1474,308,Inter Miami CF
N. Eichinger,Noel Eichinger,57,66,375000,"ST,RW",ST,Germany,20,183,78,1429,309,FSV Zwickau
L. Nomel,Landry Nomel,57,60,220000,RM,RM,France,24,182,74,1372,298,Valenciennes FC
J. Eng,Jacob Eng,57,78,525000,RW,RW,Norway,17,180,76,1359,300,Vålerenga Fotball
K. Ehibhatiomhan,Kelvin Ehibhatiomhan,57,73,425000,ST,ST,Nigeria,19,191,82,1370,292,Reading
W. Nassi,Walid Nassi,57,66,375000,RM,RM,France,21,180,60,1329,295,Dijon FCO
E. Thorpe,Elliot Thorpe,57,68,375000,CM,CAM,Wales,21,178,70,1572,327,Burton Albion
An Jin Beom,Jin Beom An,57,57,160000,"CM,RM",CAM,Korea Republic,30,175,66,1627,338,Seongnam FC
F. Tauchhammer,Fabian Tauchhammer,57,67,350000,RB,RB,Austria,20,183,64,1449,308,RZ Pellets Wolfsberger AC
A. Paz,Ayrton Paz,57,65,325000,LB,LB,Bolivia,19,173,70,1530,327,Club Deportivo Oriente Petrolero
A. Al Yousif,Abdullah Al Yousif,57,61,210000,"LB,CB",LB,Saudi Arabia,25,175,74,1500,326,Al Fateh
Su Yuanjie,Yuanjie Su,57,57,170000,"RM,LM,LB",RW,China PR,27,179,75,1549,330,Tianjin Jinmen Tiger FC
Qiu Tianyi,Tianyi Qiu,57,57,80000,CB,CB,China PR,33,192,80,1349,310,Tianjin Jinmen Tiger FC
Park Jin Seong,Jin Seong Park,57,71,375000,"LB,LM,LWB",LB,Korea Republic,21,178,76,1380,298,Jeonbuk Hyundai Motors
J. Zahmel,Jannik Zahmel,57,69,400000,"RW,ST,LW",ST,Germany,19,183,72,1503,320,VfL Osnabrück
J. Bookjans,Jakob Bookjans,57,65,375000,CAM,CAM,Germany,21,178,71,1510,319,VfB Oldenburg
M. Weier,Michael Weier,57,62,190000,GK,GK,Australia,25,198,85,884,311,Newcastle Jets
L. Richards,Lewis Richards,57,68,325000,"CB,LB",CB,Republic of Ireland,20,182,72,1545,332,Harrogate Town
A. Monis,Alex Monis,57,69,400000,"RM,RW",RM,United States,19,168,60,1425,300,Chicago Fire Football Club
A. Ismaïl,Amir Ismaïl,57,75,400000,ST,ST,Netherlands,17,180,64,1369,296,SC Heerenveen
M. Leonard,Marc Leonard,57,72,400000,CM,CM,Scotland,20,178,76,1586,336,Northampton Town
L. Zeefuik,Lequincio Zeefuik,57,74,400000,ST,ST,Netherlands,17,192,80,1358,305,FC Volendam
N. Noll,Nahuel Noll,57,72,350000,GK,GK,Germany,19,188,75,900,313,TSG Hoffenheim
P. Urminsky,Peter Urminsky,57,64,275000,GK,GK,Slovakia,23,198,80,835,318,St. Mirren
J. Lalrinzuala,Jerry Lalrinzuala,57,62,230000,"LB,LWB",LB,India,23,167,70,1516,329,SC East Bengal FC
R. Howley,Ryan Howley,57,79,525000,"CM,CDM",CDM,Wales,18,183,74,1565,333,Coventry City
L. Pršo,Luka Pršo,57,64,325000,"CAM,CDM",LM,Australia,21,190,80,1607,347,Melbourne Victory
A. Mlinaric,Anton Mlinaric,57,67,325000,CB,CB,Australia,20,190,68,1314,294,Brisbane Roar
L. King,Leon King,57,77,425000,CB,CB,Scotland,18,185,75,1302,283,Rangers FC
C. Armiento,Carlo Armiento,57,65,375000,"LM,CAM",LM,Australia,23,175,65,1505,323,Brisbane Roar
Park Gun,Gun Park,57,57,110000,"CB,CDM",CB,Korea Republic,31,184,77,1299,282,Pohang Steelers
H. Ruivah,Hormipam Ruivah,57,69,375000,CB,CB,India,21,180,75,1446,316,Kerala Blasters FC
P. Bourdelle,Paul Bourdelle,57,68,325000,GK,GK,France,21,191,78,910,330,Grenoble Foot 38
J. Wells-Morrison,Jack Wells-Morrison,57,77,450000,CM,CM,England,18,180,73,1589,328,Crystal Palace
J. Sundström,Joel Sundström,57,68,350000,CM,CAM,Sweden,20,180,75,1476,318,Varbergs BoIS FC
A. Yakoub,Antonio Yakoub,57,72,400000,ST,CAM,Finland,20,180,70,1415,301,IK Sirius
Li Shenyuan,Shenyuan Li,57,62,230000,"RWB,RM",RB,China PR,24,180,69,1360,299,Shanghai Port FC
C. Zimba,Chanka Zimba,57,67,375000,ST,ST,England,20,185,68,1472,326,Newport County
Y. Medina,Yaimar Medina,57,80,525000,LM,LM,Ecuador,17,175,70,1457,305,Independiente del Valle
K. Dag,Koray Dag,57,72,400000,ST,ST,Turkey,19,186,78,1388,302,Sportclub Verl
G. Marcianò,Giuseppe Marcianò,57,65,325000,GK,GK,Italy,22,190,80,859,316,Frosinone
Buni Jorge,Plamedi Buni Jorge,57,66,375000,"CM,CAM",LM,Angola,21,168,60,1608,342,Rodez Aveyron Football
D. Barden,Daniel Barden,57,69,350000,GK,GK,Wales,21,195,79,903,314,Norwich City
A. Dervin,Aodh Dervin,57,62,250000,CM,CAM,Republic of Ireland,22,170,70,1605,340,Shelbourne FC
G. Fuentes,Gilbert Fuentes,57,74,425000,"CAM,CM",CAM,El Salvador,20,168,68,1477,319,San Jose Earthquakes
A. Foley,Adam Foley,57,57,130000,"RM,ST",ST,Republic of Ireland,32,186,78,1452,324,Drogheda United
V. Kaith,Vishal Kaith,57,60,170000,GK,GK,India,25,187,78,860,310,ATK Mohun Bagan FC
L. Jensen,Lukas Jensen,57,67,325000,GK,GK,Denmark,23,198,90,939,302,Accrington Stanley
F. Abo Bakr,Faisal Abo Bakr,57,63,230000,CB,CB,Saudi Arabia,25,182,72,1330,284,Al Batin
G. Grubbe,Gustav Grubbe,57,69,375000,RB,RB,Denmark,19,179,74,1344,299,Odense Boldklub
D. Quintela,Dayler Quintela,57,65,300000,GK,GK,Bolivia,20,180,70,937,310,Independiente Petrolero
S. Ewange,Stephen Ewange,57,64,325000,"RB,RM",RB,Cameroon,21,172,70,1425,314,Stade Malherbe Caen
B. Nna Noukeu,Blondy Nna Noukeu,57,68,325000,GK,GK,Cameroon,21,184,76,848,301,Stoke City
T. Aksu,Tuncer Duhan Aksu,57,63,240000,"CB,LB",CB,Turkey,24,183,75,1313,283,İstanbulspor
J. Wilson,John Ross Wilson,57,61,220000,RWB,RWB,Republic of Ireland,23,182,76,1488,315,Shelbourne FC
F. Hoxha,Florian Hoxha,57,69,375000,"LWB,LB",LWB,Kosovo,21,177,71,1445,311,Grasshopper Club Zürich
S. Karssies,Sam Karssies,57,69,350000,GK,GK,Netherlands,19,186,70,847,303,FC Twente
J. Schenk,Johannes Schenk,57,73,375000,GK,GK,Germany,19,191,85,876,313,FC Bayern München
R. Longelo,Rosaire Longelo,57,64,325000,"LM,RM",LM,England,22,184,72,1496,329,Accrington Stanley
M. Motolese,Mattia Motolese,57,72,350000,CB,CB,Italy,18,185,80,1321,278,Bologna
D. James-Taylor,Douglas James-Taylor,57,68,375000,ST,ST,England,20,178,74,1435,313,Walsall
T. Ülvan,Talha Ülvan,57,65,350000,"RB,LB",RB,Turkey,21,181,73,1456,312,GZT Giresunspor
O. Ashley,Ossama Ashley,57,64,325000,"RM,CM",RM,England,22,180,82,1544,343,Colchester United
P. Mercado,Patrik Mercado,57,73,425000,CM,CM,Ecuador,18,175,69,1501,321,Independiente del Valle
H. Saunders,Harvey Saunders,57,61,240000,"ST,RW,LW",ST,England,24,180,69,1431,316,Bristol Rovers
F. Zawadzki,Filip Zawadzki,57,71,375000,"CAM,CF",CAM,Poland,18,176,73,1405,305,Widzew Łódź
J. Lillis,Josh Lillis,57,57,20000,GK,GK,England,35,183,79,1098,325,Barrow
B. Baggley,Barry Baggley,57,62,240000,CM,CAM,Northern Ireland,20,170,65,1538,321,Fleetwood Town
D. Gyabi,Darko Gyabi,57,80,525000,CM,CAM,England,18,196,80,1596,345,Leeds United
N. Aslan,Nurullah Aslan,57,62,200000,GK,GK,Turkey,24,202,87,984,318,MKE Ankaragücü
Tommy,Tomás Romero Cejudo,57,72,350000,GK,GK,Spain,19,182,76,919,319,Albacete BP
A. Thomas,Andrew Thomas,57,63,210000,GK,GK,Russia,23,188,88,884,315,Seattle Sounders FC
J. Hilton,Joe Hilton,57,68,325000,GK,GK,England,22,195,83,899,313,Blackburn Rovers
C. Sichenje,Collins Sichenje,57,76,400000,"CB,CM",CB,Kenya,18,189,75,1414,314,AIK
O. Bevan,Owen Bevan,57,72,350000,CB,CB,Wales,18,186,74,1370,293,AFC Bournemouth
E. Bartlow,Ethan Bartlow,57,65,350000,CB,CB,United States,22,183,77,1306,285,Houston Dynamo
O. Fallenius,Oskar Fallenius,57,69,400000,"ST,CAM",CAM,Sweden,20,181,70,1385,309,Brøndby IF
N. Brown,Nathaniel Brown,57,70,375000,LB,LB,Germany,19,176,60,1402,296,1. FC Nürnberg
D. Rooney,Dayle Rooney,57,60,220000,LM,LM,Republic of Ireland,24,179,74,1481,313,Drogheda United
D. Marzino,Dario Marzino,57,62,190000,GK,GK,Switzerland,25,184,80,1067,328,BSC Young Boys
C. McCabe,Colin McCabe,57,59,160000,GK,GK,Republic of Ireland,25,193,82,1095,321,Drogheda United
R. Giovannini,Romeo Giovannini,57,67,350000,"RW,CF",ST,Italy,20,174,72,1480,310,Modena
P. Doyle,Paul Doyle,57,63,240000,"CDM,CM",CM,Republic of Ireland,24,177,73,1516,320,Dundalk FC
J. Markelo,Jahnoah Markelo,57,73,425000,"LM,RM",ST,Netherlands,19,171,68,1452,317,Go Ahead Eagles
O. Al Suhaymi,Omar Al Suhaymi,57,57,140000,"CDM,CM",CDM,Saudi Arabia,29,176,63,1542,332,Al Batin
A. Noor,Abdulaziz Noor,57,66,375000,"LM,RM",LM,Sudan,23,174,57,1448,314,Al Wehda
J. Flores,José Alfredo Flores,57,74,425000,"RW,RM",RW,Bolivia,18,177,69,1517,331,Club The Strongest
C. Brown,Charlie Brown,57,63,275000,ST,ST,England,22,183,78,1375,301,Cheltenham Town
M. Boyes,Morgan Boyes,57,71,375000,"CB,LB",CB,Wales,21,179,69,1519,320,Livingston FC
J. Imbrechts,Joachim Imbrechts,57,68,300000,GK,GK,Sweden,20,183,74,867,321,Royale Union Saint-Gilloise
K. Cowan,Keith Cowan,57,57,30000,CB,CB,Republic of Ireland,36,188,86,1219,263,Drogheda United
W. Sandford,William Sandford,57,72,375000,"CDM,CM",CB,Sweden,20,183,77,1482,319,St. Johnstone FC
E. Sihlaroglu,Efe-Kaan Sihlaroglu,57,77,450000,CM,CAM,Germany,16,177,67,1570,329,Karlsruher SC
M. Tzionis,Marinos Tzionis,57,67,350000,"LW,CAM",RM,Cyprus,20,170,66,1357,295,Sporting Kansas City
B. González,Bryan González,57,72,400000,"CM,RM",CAM,Chile,19,165,65,1522,322,Universidad Católica
M. Bruns,Mathis Bruns,57,76,400000,CB,CB,Germany,18,192,75,1215,259,1. FC Union Berlin
Ó. Ómarsson,Óli Ómarsson,57,72,375000,RWB,RWB,Iceland,19,172,71,1483,323,IK Sirius
S. Forde,Shaqai Forde,57,75,425000,ST,ST,England,18,174,71,1454,309,Watford
Kim Jung Ho,Jung Ho Kim,57,65,325000,GK,GK,Korea Republic,24,185,77,876,305,Gangwon FC
Lee Ji Han,Ji Han Lee,57,69,400000,LM,LM,Korea Republic,19,180,70,1420,303,SC Freiburg II
A. Ercan,Aday Ercan,57,64,300000,CDM,CB,Germany,21,191,79,1490,328,Borussia Dortmund II
M. Ndiaye,Maissa Ndiaye,57,68,325000,CB,CB,Senegal,20,175,60,1378,279,US Cremonese
M. Yasir,Mohammed Yasir,57,62,250000,"RW,CAM,LW",LM,India,24,170,68,1481,321,Hyderabad FC
A. Kozubal,Antoni Kozubal,57,76,400000,"CM,CDM",CAM,Poland,17,176,68,1538,342,Lech Poznań
N. Djiga,Nasser Djiga,57,77,425000,CB,CB,Burkina Faso,19,189,84,1358,299,Nîmes Olympique
D. Carr,Dan Carr,57,57,170000,ST,ST,Trinidad and Tobago,28,180,77,1404,302,Shelbourne FC
José Carrillo,José Carrillo Mancilla,57,60,190000,CB,CB,Spain,27,185,75,1266,274,Finn Harps
T. Clayton,Tom Clayton,57,64,300000,CB,CB,Scotland,21,183,73,1375,295,Swindon Town
O. Denham,Oliver Denham,57,70,375000,CB,CB,Wales,20,182,71,1280,276,Cardiff City
K. Simmonds,Keyendrah Simmonds,57,71,400000,ST,ST,England,21,180,68,1433,307,Grimsby Town
T. Ashby-Hammond,Taye Ashby-Hammond,57,66,325000,GK,GK,England,23,190,87,841,309,Stevenage
R. Roefs,Robin Roefs,57,69,350000,GK,GK,Netherlands,19,192,80,836,300,N.E.C. Nijmegen
J. Giménez,Juan José Giménez,57,69,400000,RM,LM,Paraguay,19,168,75,1393,304,Club Cerro Porteño
J. Asiri,Jaber Asiri,57,62,250000,ST,ST,Saudi Arabia,24,180,79,1432,305,Al Wehda
P. Gill,Prabhsukhan Gill,57,65,325000,GK,GK,India,21,183,70,966,319,Kerala Blasters FC
Jaime Durán,Jaime Durán Jiménez,57,67,325000,GK,GK,Spain,21,196,79,945,321,RCD Mallorca
K. Keller,Kipp Keller,57,69,375000,CB,CB,United States,21,187,82,1293,276,Austin FC
M. Smit,Milan Smit,57,69,400000,"ST,RW",ST,Netherlands,19,180,74,1390,290,SC Cambuur
W. Tortolero,Williams Tortolero,57,68,300000,GK,GK,Venezuela,19,180,75,903,305,Deportivo Táchira FC
Shin Song Hoon,Song Hoon Shin,57,74,375000,GK,GK,Korea Republic,19,180,80,900,297,Sangju Sangmu FC
H. Küng,Hannes Küng,57,72,375000,CB,CB,Austria,19,186,80,1266,278,Austria Lustenau
O. Lindell,Otto Lindell,57,70,350000,GK,GK,Sweden,20,185,75,1073,319,IFK Norrköping
B. Mruk,Bartłomiej Mruk,57,70,375000,CB,CB,Poland,20,184,75,1261,274,Pogoń Szczecin
M. Al Juwair,Musab Al Juwair,57,72,400000,"CM,CDM,CAM",CAM,Saudi Arabia,19,178,70,1564,343,Al Hilal
D. Nugent,Darragh Nugent,57,63,275000,"CAM,CDM",CAM,Republic of Ireland,21,183,72,1601,340,Drogheda United
Kim Ju Yeop,Ju Yeop Kim,57,68,350000,"RWB,RM",RB,Korea Republic,22,180,76,1440,307,Suwon FC
J. Hollman,Jake Hollman,57,60,220000,"LW,RW",CAM,Australia,20,176,70,1537,328,Macarthur FC
Z. Farnsworth,Zack Farnsworth,57,74,400000,"LB,CB",CB,United States,19,185,75,1382,311,Real Salt Lake
M. Ruhs,Michael Ruhs,57,66,350000,"ST,LM,RM",ST,Australia,19,180,70,1559,343,Central Coast Mariners
Chen Zhongliu,Zhongliu Chen,57,57,140000,"CB,CDM",RM,China PR,28,185,73,1690,365,Shijiazhuang Ever Bright F.C.
M. Chol,Machop Chol,57,64,325000,"RM,ST",RM,Sudan,23,188,79,1432,316,Atlanta United
Jesús Fernández,Jesús Fernández Alonso,57,65,375000,"CM,CB",CDM,Spain,22,180,75,1633,341,CD Lugo
J. Schröder,Jan Schröder,57,73,400000,"LWB,LM",LWB,Germany,19,180,73,1412,301,Eintracht Frankfurt
B. Reveno,Ben Reveno,57,68,350000,"CB,LB",CB,United States,23,185,71,1487,322,New England Revolution
H. Ghazwani,Hassan Ghazwani,57,57,170000,"CAM,CM",CAM,Saudi Arabia,28,168,62,1514,321,Al Batin
F. Roggow,Franz Roggow,57,72,375000,CDM,CM,Germany,19,186,75,1529,331,FC St. Pauli
F. Vidal,Fabricio Vidal,57,71,375000,LB,LB,Uruguay,19,188,80,1432,308,Club Atlético River Plate
J. Law,Jason Law,57,65,375000,"CAM,RW",LM,England,23,178,71,1638,356,Mansfield Town
D. Duffy,Dylan Duffy,57,68,350000,"LM,ST",LM,Republic of Ireland,19,189,76,1560,328,UCD AFC
J. Maxwell,James Maxwell,57,66,350000,LB,LB,Scotland,20,179,68,1383,301,Doncaster Rovers
Luo Yi,Yi Luo,57,57,50000,"LWB,LB",LWB,China PR,35,175,64,1532,325,Wuhan FC
S. Righetti,Samuele Righetti,57,67,350000,LWB,LB,Italy,20,182,75,1385,298,Perugia
T. Hendriks,Tom Hendriks,57,70,350000,GK,GK,Netherlands,20,186,76,875,307,Fortuna Sittard
W. Evans,Will Evans,57,62,220000,"LWB,LW",LM,Wales,25,185,82,1575,337,Newport County
Maeng Seong Ung,Seong Ung Maeng,57,64,325000,"CM,CDM",CM,Korea Republic,24,183,70,1505,318,Jeonbuk Hyundai Motors
S. Farrell,Shane Farrell,57,61,220000,"RWB,ST,CM",RM,Republic of Ireland,22,184,72,1609,341,Shelbourne FC
S. Bergier,Sebastian Bergier,57,66,375000,"ST,LM",ST,Poland,22,184,76,1429,303,Śląsk Wrocław
L. Bendel,Luca Bendel,57,70,325000,GK,GK,Germany,18,190,81,1068,321,Hallescher FC
E. Ingram,Ethan Ingram,57,73,400000,"RWB,RB",RWB,England,19,180,70,1429,310,West Bromwich Albion
J. Feeney,Joshua Feeney,57,80,500000,CB,CB,England,17,194,78,1294,272,Aston Villa
O. Kamdem,Oliver Kamdem,57,68,325000,RB,RWB,France,19,176,70,1403,301,Clermont Foot 63
P. Maj,Przemysław Maj,57,68,350000,"RM,LM,CAM",RM,Poland,19,175,65,1456,313,PGE FKS Stal Mielec
S. Long,Sam Long,57,73,375000,GK,GK,Scotland,19,183,76,1000,325,Lincoln City
J. Baptiste,Jamal Baptiste,57,78,500000,"CB,RB",CB,England,18,183,75,1369,298,West Ham United
J. Corozo,Jonathan Corozo,57,73,400000,"CAM,CM",CB,Ecuador,17,176,77,1619,351,Barcelona Sporting Club
R. Jones,Ryan Jones,57,63,240000,LB,LB,England,20,177,70,1508,329,Bristol Rovers
M. Rus,Marco Rus,57,72,400000,"CAM,RW",RM,Romania,19,179,69,1462,314,Coventry City
N. Boateng,Nana Boateng,57,68,350000,"RW,ST",CAM,England,19,184,78,1434,317,Millwall
E. Emanuele,Ezequiel Emanuele,57,69,375000,"CM,CDM",CAM,Ecuador,18,175,69,1606,342,Barcelona Sporting Club
M. Balard,Max Balard,57,66,375000,CM,CAM,Australia,21,175,68,1539,323,Central Coast Mariners
M. Rafique,Mohammed Rafique,57,57,120000,"RB,RM,CM",RB,India,31,172,65,1553,326,Chennaiyin FC
P. Rodríguez,Paulo Rodríguez,57,68,350000,"LW,LM",LM,Peru,19,177,73,1571,334,Cienciano
E. Uzunhan,Emrecan Uzunhan,57,72,375000,CB,CB,Turkey,21,189,81,1411,305,Beşiktaş JK
B. Ciepiela,Bartłomiej Ciepiela,57,70,400000,"CAM,LM",CAM,Poland,21,182,75,1463,314,PGE FKS Stal Mielec
F. Back,Fin Back,57,74,400000,"RWB,RB",RWB,England,19,188,72,1451,308,Carlisle United
L. Zahaczewski,Lucas Zahaczewski,57,64,275000,GK,GK,Germany,21,186,90,871,316,SpVgg Bayreuth
J. Barnett,Jay Barnett,57,66,350000,"CDM,LB,RB",CM,Australia,21,179,75,1512,330,Melbourne Victory
E. Dat,Emanuel Dat,57,67,375000,"LW,CAM,RW",RM,Romania,21,172,69,1423,320,CS Mioveni
N. Kukanda,Nathanael Kukanda,57,70,400000,LW,LM,Germany,19,180,75,1524,335,FC St. Pauli
B. Worman,Ben Worman,57,67,350000,"CDM,CM",CAM,England,20,172,68,1632,348,Cambridge United
S. Sargeant,Sam Sargeant,57,60,170000,GK,GK,England,24,188,75,979,330,Leyton Orient
A. Al Samtai,Abdullah Al Samtai,57,59,180000,CDM,CDM,Saudi Arabia,25,172,70,1515,322,Al Khaleej
A. Gaaei,Anton Gaaei,57,71,400000,"RW,RB",RM,Denmark,19,183,75,1476,323,Viborg FF
A. Gorcea,Andrei Gorcea,57,70,350000,GK,GK,Romania,20,185,75,881,302,Universitatea Cluj
Tan Wangsong,Wangsong Tan,57,57,35000,"RB,LB",CB,China PR,36,180,70,1617,325,Tianjin Jinmen Tiger FC
D. Csontos,Dominik Csontos,57,73,400000,"LB,CB",LB,Hungary,19,185,71,1350,296,Ferencvárosi TC
P. Besong,Paul-Philipp Besong,57,64,325000,ST,ST,Germany,21,184,93,1401,304,FC Erzgebirge Aue
M. Dyche,Max Dyche,57,69,375000,CB,CB,England,19,184,70,1388,305,Northampton Town
M. Suárez,Martín Suárez,57,76,425000,"CM,RB",CM,Uruguay,18,178,67,1567,327,Montevideo Wanderers
Z. Bassong,Zorhan Bassong,57,63,250000,"LM,CB,LWB",LM,Canada,23,178,79,1563,337,Club de Foot Montréal
J. Adolfsson,Jesper Adolfsson,57,67,350000,CB,CB,Sweden,23,182,78,1352,301,Mjällby AIF
S. Beccari,Simon Beccari,57,63,210000,GK,GK,Italy,23,188,81,937,317,WSG Tirol
J. Reichert,Jan Reichert,57,67,325000,GK,GK,Germany,21,191,86,904,317,1. FC Nürnberg
L. Kamberi,Lindrit Kamberi,57,70,375000,CB,CB,Switzerland,22,182,83,1324,289,FC Zürich
N. Al Rashidi,Noor Al Rashidi,57,60,190000,"CB,RB",CB,Saudi Arabia,27,180,60,1350,292,Al Wehda
L. Gordon,Lewis Gordon,57,67,350000,LB,LB,Scotland,21,170,64,1489,319,Bristol Rovers
A. Penin,Aloïs Penin,57,70,375000,"RB,LB",CB,France,19,180,69,1364,297,Valenciennes FC
V. Agostinelli,Vittorio Agostinelli,57,73,425000,CM,CAM,Italy,20,183,73,1451,304,Urbs Reggina 1914
S. Doungel,Seiminlen Doungel,57,57,170000,RM,RM,India,28,172,69,1584,339,Jamshedpur FC
J. Adams,Joe Adams,57,71,400000,"LM,RM",RM,Wales,21,176,62,1393,303,Dundalk FC
D. Singh Moirangthem,Dheeraj Singh Moirangthem,57,68,325000,GK,GK,India,21,180,70,913,314,FC Goa
B. Al Baqi,Basim Al Baqi,57,57,80000,GK,GK,Saudi Arabia,32,187,89,1023,324,Al Wehda
C. Nieuwenhof,Calem Nieuwenhof,57,65,350000,"CDM,CM",CAM,Australia,21,181,73,1572,327,Western Sydney Wanderers
M. Ciucci,Mattia Ciucci,57,68,325000,CB,CB,Italy,19,188,82,1343,286,Lecce
S. Van Damme,Sef Van Damme,57,71,350000,GK,GK,Belgium,19,191,78,803,311,SV Zulte Waregem
J. Arbio,José Arbio,57,74,375000,GK,GK,Uruguay,19,187,82,872,299,Club Atlético River Plate
G. Duhalde,Guillermo Duhalde,57,71,375000,CB,CB,Uruguay,20,181,77,1346,288,Cerro Largo Fútbol Club
W. Martínez Tauda,Walter Martínez Tauda,57,68,375000,"RW,RM",CAM,Chile,22,176,71,1471,320,Deportivo Ñublense
O. Megeed,Omar Megeed,57,77,450000,"LW,CAM",RM,Egypt,16,188,77,1392,306,Hamburger SV
H. Steele,Harry Steele,57,65,350000,CM,CM,Australia,19,170,75,1497,317,Central Coast Mariners
K. Wiethaup,Kevin Wiethaup,57,71,375000,CAM,CAM,Germany,16,175,69,1479,313,VfL Osnabrück
G. Gajardo,Guillermo Gajardo,57,65,300000,GK,GK,Chile,20,180,75,894,303,Deportivo Ñublense
J. Yılmaz,Jankat Yılmaz,57,74,350000,GK,GK,Turkey,17,193,75,812,300,Galatasaray SK
T. Gillier,Thomas Gillier,57,74,375000,GK,GK,Chile,18,186,73,815,301,Universidad Católica
P. Thiam,Pape Samba Thiam,57,67,375000,ST,ST,Senegal,20,188,80,1317,281,Benevento
J. Jeno,Jekob Abiezer Jeno,57,65,350000,"CDM,CM",CB,France,22,183,75,1465,313,Grenoble Foot 38
M. Ceïde,Mikkel Ceïde,57,70,375000,CB,CB,Norway,20,182,74,1314,286,Tromsø IL
L. Marson,Leonardo Marson,57,63,210000,GK,GK,Italy,24,194,92,914,311,Cosenza
B. McManus,Brian McManus,57,63,250000,CM,CAM,Republic of Ireland,20,179,73,1591,338,Shelbourne FC
N. Popescu,Nicolas Popescu,57,75,400000,"CDM,CB",CAM,Romania,19,187,75,1532,330,FC Voluntari
R. Yılmaz,Recep Burak Yılmaz,57,61,200000,CB,CB,Turkey,26,185,78,1309,286,Atakaş Hatayspor
M. Løvik,Mathias Løvik,57,74,400000,"LWB,LB",LWB,Norway,18,183,78,1427,316,Molde FK
Unai Ruiz,Unai Ruiz Almandzo,57,67,325000,GK,GK,Spain,22,183,80,873,300,SD Eibar
M. Touré,Madou Touré,57,68,350000,CDM,CB,France,20,189,74,1449,315,Valenciennes FC
F. Kleemann,Freddy Kleemann,57,63,240000,CB,CB,United States,23,193,91,1210,268,Austin FC
M. Al Mahasna,Mohammed Al Mahasna,57,63,200000,GK,GK,Saudi Arabia,25,178,70,971,324,Damac FC
B. Paton,Ben Paton,57,66,350000,"LB,LM",CAM,Canada,22,175,67,1552,334,Ross County FC
H. Van der Saag,Harry Van der Saag,57,64,325000,RB,RB,Australia,22,183,77,1433,318,Adelaide United
H. Lindley,Hayden Lindley,57,71,375000,"CDM,CM,RB",RM,England,19,182,70,1595,330,Newport County
C. Duffus,Courtney Duffus,57,58,200000,ST,ST,Republic of Ireland,26,188,76,1463,319,Morecambe
C. Rowe,Coby Rowe,57,61,200000,CB,CB,England,26,192,86,1294,281,Sutton United
M. Neutgens,Maximilian Neutgens,57,70,325000,GK,GK,Germany,18,188,75,879,311,Bayer 04 Leverkusen
H. Macadam,Harvey Macadam,57,62,250000,CM,CM,England,21,191,84,1588,346,Fleetwood Town
Y. Koré,Yoan Koré,57,72,350000,"RWB,RB",CB,France,17,187,75,1464,319,Paris FC
A. Pepple,Aribim Pepple,57,71,400000,ST,ST,Canada,19,185,72,1476,321,Grimsby Town
G. Deegan,Gary Deegan,57,57,60000,CDM,CDM,Republic of Ireland,34,176,75,1531,305,Drogheda United
S. Keogh,Seamas Keogh,57,72,375000,CDM,RM,Republic of Ireland,20,176,72,1527,340,Sligo Rovers
R. Pyke,Rekeil Pyke,57,60,230000,"ST,RWB",ST,England,24,175,65,1491,330,Shrewsbury Town
B. Davis,Bode Davis,57,72,400000,"LM,CF",LM,United States,20,183,75,1366,311,Real Salt Lake
Liu Weiguo,Weiguo Liu,57,57,110000,GK,GK,China PR,30,197,90,1079,334,Changchun Yatai FC
D. Skubl,David Skubl,57,68,300000,GK,GK,Austria,20,188,80,827,297,RZ Pellets Wolfsberger AC
M. Al Haidari,Marwan Al Haidari,57,60,170000,GK,GK,Saudi Arabia,26,188,76,942,312,Al Khaleej
J. Knowles,Jimmy Knowles,57,67,375000,ST,ST,England,20,184,70,1452,319,Mansfield Town
R. East,Ryan East,57,64,300000,"CDM,CM",CAM,England,23,176,70,1630,336,Bradford City
E. Ogura,Emmanuel Ogura,57,71,350000,GK,GK,Ghana,20,182,75,1097,354,FC Nordsjælland
T. Small,Thierry Small,57,76,400000,LWB,LB,England,17,175,68,1471,318,Port Vale
A. Ali,Anwar Ali,57,67,350000,CB,CB,India,21,179,74,1481,323,FC Goa
T. Ryan,Tadhg Ryan,57,62,190000,GK,GK,Republic of Ireland,25,181,74,1094,327,Bohemian FC
B. Pachito,Bruno Pachito,57,70,375000,"LM,LW",LM,Ecuador,17,174,70,1512,328,9 de Octubre
